"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          49,                 0,       -4.69969044,      -1.311802227,      -1.186494715,      0.9508839792,      0.2563261554
          1,           0,          49,    0.002355502561,      -4.807226242,      -1.407148399,      -1.325493995,      0.7772410038,    -0.08736858292
          2,           0,          49,    0.004711005123,      -4.954011063,      -1.495952272,      -1.512085047,      0.5651783838,     -0.3093116727
          3,           0,          49,    0.007066507684,      -5.147615224,       -1.58315385,      -1.830709234,       0.418624684,     -0.4777611897
          4,           0,          49,    0.009422010245,       -5.29769296,      -1.669012426,      -2.384200717,      0.4134513819,      -0.614237012
          5,           0,          49,     0.01177751281,       -5.19268453,      -1.750721359,      -1.792652247,      0.4169057817,     -0.7295858464
          6,           0,          49,     0.01413301537,       -5.01841411,      -1.828727156,      -1.549950781,      0.4494562618,     -0.8298955643
          7,           0,          49,     0.01648851793,      -4.905560354,      -1.901658395,      -1.420271784,      0.5391267227,     -0.9180003474
          8,           0,          49,     0.01884402049,      -4.842307173,      -1.969507991,      -1.347025069,       0.646259088,     -0.9950376551
          9,           0,          49,     0.02119952305,      -4.807477094,       -2.03389688,      -1.310940704,      0.7291620858,      -1.061400286
         10,           0,          49,     0.02355502561,      -4.795809608,      -2.096711326,      -1.304869061,      0.7707500959,      -1.118053968
         11,           0,          49,     0.02591052817,      -4.806609967,      -2.158070922,      -1.328501395,      0.7665958585,      -1.167504585
         12,           0,          49,     0.02826603074,      -4.840350113,      -2.216285082,      -1.386500059,      0.7185392149,      -1.212436268
         13,           0,          49,      0.0306215333,      -4.898463415,      -2.269495403,      -1.491391642,       0.638252831,      -1.254011034
         14,           0,          49,     0.03297703586,      -4.978213139,      -2.316233475,      -1.675407112,      0.5662992812,      -1.292325775
         15,           0,          49,     0.03533253842,      -5.063813077,      -2.355363602,      -2.048287487,      0.5510280182,      -1.328066846
         16,           0,          49,     0.03768804098,      -5.100071337,      -2.382498722,      -2.115751695,      0.5690751302,      -1.361305434
         17,           0,          49,     0.04004354354,      -5.064756768,      -2.391848102,       -1.69840622,      0.5586059222,      -1.390724333
         18,           0,          49,      0.0423990461,      -4.974931079,      -2.386991493,       -1.49543451,      0.5444005372,      -1.411593957
         19,           0,          49,     0.04475454866,      -4.887871849,      -2.378809565,      -1.375759657,       0.574042036,      -1.417164303
         20,           0,          49,     0.04711005123,      -4.825041773,      -2.377498645,      -1.303582671,      0.6571591701,      -1.407594769
         21,           0,          49,     0.04946555379,      -4.785876295,      -2.384589766,      -1.264860378,      0.7432039859,      -1.393495451
         22,           0,          49,     0.05182105635,      -4.765783351,      -2.391067872,      -1.254026022,      0.7989755965,      -1.386002538
         23,           0,          49,     0.05417655891,      -4.766370692,      -2.397776584,      -1.270193816,      0.8128786247,      -1.386590211
         24,           0,          49,     0.05653206147,      -4.787680106,      -2.396560777,      -1.316313822,       0.785871606,      -1.398520211
         25,           0,          49,     0.05888756403,      -4.827220902,      -2.384944709,      -1.400747216,      0.7267035302,      -1.415253691
         26,           0,          49,     0.06124306659,      -4.884237149,      -2.388963061,      -1.543547236,      0.6593103334,        -1.4317864
         27,           0,          49,     0.06359856916,      -4.950791732,      -2.409549395,      -1.803556605,      0.6260301231,      -1.446917401
         28,           0,          49,     0.06595407172,       -5.00436004,      -2.444886451,      -2.328439707,      0.6331390008,      -1.464690284
         29,           0,          49,     0.06830957428,      -5.015067322,      -2.490630142,      -1.840872351,      0.6359522224,      -1.485111117
         30,           0,          49,     0.07066507684,      -4.979120927,      -2.526543354,        -1.5585734,        0.60231531,      -1.501332871
         31,           0,          49,      0.0730205794,      -4.917763428,      -2.522978445,      -1.404925661,      0.5783149087,      -1.501058627
         32,           0,          49,     0.07537608196,      -4.856537319,      -2.491784077,      -1.311719893,      0.6185548599,      -1.467515126
         33,           0,          49,     0.07773158452,        -4.8071216,      -2.454257531,      -1.257328564,       0.703637944,      -1.412992597
         34,           0,          49,     0.08008708708,      -4.776591719,      -2.408167324,      -1.233409424,      0.7755401747,      -1.365859654
         35,           0,          49,     0.08244258965,      -4.763834474,      -2.348584015,      -1.236885982,      0.8099941291,      -1.338154107
         36,           0,          49,     0.08479809221,      -4.772306361,      -2.299272115,      -1.268714648,       0.800667655,      -1.330192175
         37,           0,          49,     0.08715359477,      -4.801127674,       -2.27195616,      -1.334023439,      0.7497956455,      -1.339461786
         38,           0,          49,     0.08950909733,      -4.847592411,      -2.273703195,      -1.445914812,      0.6764102812,      -1.354724471
         39,           0,          49,     0.09186459989,       -4.90726123,      -2.284489462,      -1.638155854,      0.6311083174,      -1.369444134
         40,           0,          49,     0.09422010245,      -4.965515678,      -2.311414436,      -2.033225536,      0.6381987637,      -1.382989317
         41,           0,          49,     0.09657560501,      -4.980601207,      -2.350283044,      -2.078398172,      0.6601494789,      -1.396487784
         42,           0,          49,     0.09893110758,      -4.962201007,       -2.40797336,      -1.655298641,      0.6403126692,      -1.414717483
         43,           0,          49,      0.1012866101,      -4.930642374,      -2.468102203,      -1.452890119,       0.594413519,      -1.433051002
         44,           0,          49,      0.1036421127,      -4.883656881,      -2.486826698,      -1.333972569,      0.5942389061,      -1.432426645
         45,           0,          49,      0.1059976153,      -4.837031565,      -2.457988739,      -1.261430913,      0.6679124688,      -1.402649224
         46,           0,          49,      0.1083531178,      -4.795190311,      -2.396978905,      -1.222165465,      0.7597378047,      -1.358121167
         47,           0,          49,      0.1107086204,      -4.771108232,      -2.329088647,      -1.211355113,      0.8166419514,      -1.319044769
         48,           0,          49,      0.1130641229,      -4.764427449,       -2.27552052,      -1.228311807,      0.8293365938,      -1.293132116
         49,           0,          49,      0.1154196255,       -4.77438142,      -2.233947037,       -1.27557241,      0.7982022004,      -1.284345888
         50,           0,          49,      0.1177751281,      -4.798819146,      -2.212493385,      -1.360964444,      0.7276566714,      -1.289559952
         51,           0,          49,      0.1201306306,      -4.847358417,       -2.21550031,      -1.504723556,      0.6469527841,      -1.303336879
         52,           0,          49,      0.1224861332,      -4.904966214,      -2.252151359,      -1.767654325,      0.6241803453,      -1.323015321
         53,           0,          49,      0.1248416357,      -4.952435818,      -2.308291692,      -2.351622536,      0.6511670499,      -1.349922885
         54,           0,          49,      0.1271971383,      -4.978557609,      -2.385797421,       -1.81249657,        0.66529968,      -1.379254178
         55,           0,          49,      0.1295526409,      -4.968884916,      -2.474995594,      -1.524349041,      0.6270967222,      -1.416092336
         56,           0,          49,      0.1319081434,      -4.931097668,      -2.525765285,      -1.369203589,        0.58652903,      -1.446132184
         57,           0,          49,       0.134263646,      -4.883328751,      -2.474168866,      -1.275469009,      0.6157831725,      -1.431682203
         58,           0,          49,      0.1366191486,      -4.828185078,      -2.367582553,      -1.220623676,      0.7105638539,      -1.369011527
         59,           0,          49,      0.1389746511,      -4.782730182,      -2.266830244,      -1.195870457,      0.7936245707,      -1.301913938
         60,           0,          49,      0.1413301537,      -4.751005304,        -2.2007717,      -1.198436939,      0.8333970679,      -1.251889998
         61,           0,          49,      0.1436856562,      -4.736391152,      -2.173761224,      -1.229347257,      0.8231487616,      -1.221541062
         62,           0,          49,      0.1460411588,      -4.747177162,      -2.172905313,        -1.2935775,      0.7648928929,      -1.207928201
         63,           0,          49,      0.1483966614,      -4.778363797,      -2.182867917,      -1.403958793,      0.6767963955,      -1.207850811
         64,           0,          49,      0.1507521639,      -4.825476594,      -2.205591943,      -1.593524168,      0.6243631694,      -1.219323786
         65,           0,          49,      0.1531076665,      -4.879581837,      -2.250225202,      -1.985074208,       0.645863413,      -1.240725021
         66,           0,          49,       0.155463169,      -4.931066265,      -2.314169135,       -2.07862006,      0.6848040664,      -1.272727545
         67,           0,          49,      0.1578186716,       -4.95531129,      -2.408512651,      -1.629849146,      0.6653973437,      -1.316477366
         68,           0,          49,      0.1601741742,      -4.944685815,      -2.525356148,      -1.422041783,      0.6075289841,      -1.368163496
         69,           0,          49,      0.1625296767,       -4.91355612,      -2.575560956,      -1.301241307,       0.588343255,      -1.402605375
         70,           0,          49,      0.1648851793,      -4.866193073,      -2.488538411,      -1.227794566,      0.6632258822,      -1.391082749
         71,           0,          49,      0.1672406819,       -4.80690244,      -2.359733059,      -1.188022786,      0.7660523729,      -1.337291416
         72,           0,          49,      0.1695961844,      -4.760031703,      -2.262040863,      -1.176456114,      0.8315994082,      -1.265708295
         73,           0,          49,       0.171951687,      -4.734931095,      -2.196247336,      -1.192250843,      0.8478118897,      -1.207381798
         74,           0,          49,      0.1743071895,      -4.724134671,      -2.164316212,      -1.238225028,      0.8113295687,      -1.169252835
         75,           0,          49,      0.1766626921,       -4.73021583,      -2.149452189,      -1.322476196,      0.7260693266,      -1.153562026
         76,           0,          49,      0.1790181947,       -4.75931898,      -2.146892606,      -1.464842732,      0.6344365455,      -1.158353919
         77,           0,          49,      0.1813736972,      -4.814676461,      -2.170092207,      -1.724074672,      0.6158817769,      -1.179217463
         78,           0,          49,      0.1837291998,      -4.863963531,      -2.233415167,      -2.320388086,      0.6646696595,      -1.214287554
         79,           0,          49,      0.1860847023,       -4.91220812,      -2.333331591,      -1.791044358,      0.6897776582,       -1.26587694
         80,           0,          49,      0.1884402049,      -4.948154254,      -2.461460768,      -1.496460295,       0.650684054,      -1.328686347
         81,           0,          49,      0.1907957075,      -4.950431827,       -2.59309687,      -1.339263213,      0.5982348706,       -1.37493013
         82,           0,          49,        0.19315121,      -4.908828894,      -2.593028147,      -1.244482287,      0.6217354146,      -1.360651614
         83,           0,          49,      0.1955067126,      -4.839719974,      -2.445514816,      -1.188875002,       0.725880734,      -1.291617229
         84,           0,          49,      0.1978622152,      -4.773795903,      -2.302143596,      -1.163386084,       0.817843124,      -1.208854746
         85,           0,          49,      0.2002177177,      -4.723678832,      -2.202523836,      -1.165131225,      0.8616030308,      -1.133661572
         86,           0,          49,      0.2025732203,      -4.691013099,      -2.143902266,      -1.194986136,      0.8496738198,      -1.077630743
         87,           0,          49,      0.2049287228,      -4.687767203,      -2.125650795,      -1.258091077,      0.7866566289,      -1.042095545
         88,           0,          49,      0.2072842254,      -4.708220806,      -2.131465236,       -1.36694619,      0.6859321603,      -1.027192724
         89,           0,          49,       0.209639728,      -4.741254649,       -2.15012759,      -1.553701835,      0.6275595439,      -1.035758875
         90,           0,          49,      0.2119952305,      -4.791235222,       -2.18807937,      -1.936042135,      0.6597371027,      -1.059783514
         91,           0,          49,      0.2143507331,      -4.847562174,      -2.248192702,      -2.066154151,       0.713802417,       -1.10448023
         92,           0,          49,      0.2167062356,      -4.898221129,      -2.334931235,      -1.605097134,      0.6977473527,      -1.166914669
         93,           0,          49,      0.2190617382,      -4.923889297,      -2.455799613,       -1.39436169,      0.6299892312,      -1.237352296
         94,           0,          49,      0.2214172408,      -4.906879293,      -2.577070523,      -1.272344187,      0.5928439149,      -1.285428633
         95,           0,          49,      0.2237727433,      -4.856052415,      -2.600324221,      -1.198370763,      0.6666517305,      -1.278923722
         96,           0,          49,      0.2261282459,      -4.799346535,      -2.488697326,      -1.158227615,       0.779184171,      -1.228378392
         97,           0,          49,      0.2284837484,      -4.745259839,      -2.365950284,      -1.146304423,      0.8517366804,      -1.165526849
         98,           0,          49,       0.230839251,      -4.698030915,      -2.290805373,      -1.161770623,      0.8686759917,      -1.113725674
         99,           0,          49,      0.2331947536,      -4.670522841,      -2.249627541,      -1.207394012,      0.8282416235,      -1.076361871
        100,           0,          49,      0.2355502561,      -4.673833075,      -2.231755037,      -1.291134588,      0.7359800892,      -1.053810125
        101,           0,          49,      0.2379057587,      -4.689706031,      -2.233150129,      -1.432450448,      0.6343561745,        -1.0485803
        102,           0,          49,      0.2402612613,      -4.723304218,      -2.260269432,      -1.688841938,      0.6251197089,      -1.065162942
        103,           0,          49,      0.2426167638,      -4.764373192,      -2.316696526,       -2.28097236,      0.6888170848,      -1.099195924
        104,           0,          49,      0.2449722664,      -4.810869275,      -2.400314659,      -1.769527391,      0.7212236264,      -1.152442866
        105,           0,          49,      0.2473277689,       -4.85815069,      -2.500660073,      -1.471589448,      0.6801346944,      -1.209098159
        106,           0,          49,      0.2496832715,      -4.883059655,      -2.565433605,      -1.312957051,      0.6160059648,      -1.228900815
