"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.455922249,      -9.281194908,      -10.07227419,      -10.04713344,      -3.848756209,      -11.50974404
          0,           0,           1,      -4.549841034,      -5.010236242,       -5.20951977,      -4.506239366,      -3.912011606,      -11.44894113
          0,           0,           2,      -4.901353546,      -4.915156304,      -5.089952943,      -4.845836582,      -4.290910913,      -11.26750162
          0,           0,           3,      -4.962751927,      -4.894404935,      -5.013334369,      -4.833072515,      -4.389656416,      -11.20910629
          0,           0,           4,      -4.945840163,      -4.908767441,      -4.966285114,      -4.811769915,      -4.377766934,      -11.16816359
          0,           0,           5,      -4.939073875,      -4.923614187,      -4.940417057,       -4.81858046,      -4.374643278,      -11.09261352
          0,           0,           6,      -4.927982644,      -4.910448583,      -4.931030882,      -4.838384285,      -4.362780067,      -10.99854623
          0,           0,           7,      -4.918341533,      -4.908256383,      -4.937783147,      -4.867884033,       -4.35388308,      -10.83726687
          0,           0,           8,      -4.892916276,      -4.904584751,      -4.955894516,      -4.908332499,      -4.331318267,      -10.59066489
          0,           0,           9,      -4.876846187,      -4.908577251,      -4.986745996,      -4.956238466,      -4.318525641,      -10.32122552
          0,           0,          10,      -4.862204576,      -4.922826576,      -5.026050613,      -5.003292489,      -4.302748179,      -10.06639647
          0,           0,          11,      -4.864890786,      -4.954129375,      -5.068753718,      -5.042504128,      -4.307445057,      -9.814855055
          0,           0,          12,      -4.856883277,      -4.961495071,      -5.114943485,       -5.05096187,      -4.302355556,      -9.597394995
          0,           0,          13,      -4.879120305,      -4.976747179,      -5.152026752,      -5.067202284,      -4.327118945,      -9.426198998
          0,           0,          14,      -4.895603153,      -4.990416638,      -5.198832799,      -5.101605197,      -4.342454538,      -9.255187856
          0,           0,          15,      -4.926339748,      -5.004907454,      -5.235298866,      -5.148184782,      -4.377421561,      -9.146902201
          0,           0,          16,      -4.950109839,      -5.028250653,      -5.278439926,      -5.186482078,      -4.404014401,       -8.99635161
          0,           0,          17,      -4.968565504,       -5.01796096,      -5.307658092,      -5.243181455,      -4.418864956,      -8.840714911
          0,           0,          18,      -4.999040483,      -5.040400793,      -5.338100094,      -5.292543355,      -4.446587529,      -8.728939594
          0,           0,          19,      -5.016927802,      -5.074761742,      -5.373445061,      -5.326420735,      -4.465625349,      -8.607244508
          0,           0,          20,      -5.042729928,      -5.090888397,      -5.397357501,      -5.373315448,      -4.490323069,      -8.543689869
          0,           0,          21,      -5.061714758,      -5.079963031,      -5.402089843,      -5.337543092,      -4.501391254,      -8.504537281
          0,           0,          22,      -5.103590116,      -5.132685165,      -5.418075385,      -5.409653051,      -4.547560384,      -8.488488093
          0,           0,          23,      -5.158666732,      -5.202409069,      -5.464920036,      -5.435572315,      -4.608166036,      -8.516911265
          0,           0,          24,      -5.192563058,      -5.236956059,       -5.50469394,       -5.46459621,      -4.643764525,      -8.556322757
          0,           0,          25,      -5.261711619,      -5.284370377,        -5.5539839,      -5.510815778,      -4.713913227,      -8.709236157
          0,           0,          26,      -5.323683392,      -5.321305938,      -5.612388288,      -5.582272317,      -4.776244115,      -8.801038469
          0,           0,          27,      -5.383961719,      -5.357810536,      -5.687209757,      -5.657436188,      -4.833913791,      -9.058806267
          0,           0,          28,      -5.455182153,      -5.417693154,      -5.772078959,      -5.719008791,       -4.90370382,      -9.183104087
          0,           0,          29,      -5.528216908,       -5.53584217,      -5.836351887,      -5.778589888,       -4.97576022,      -9.217678175
          0,           0,          30,      -5.580832254,      -5.619431221,      -5.874464693,      -5.806378298,      -5.027049352,      -9.240949057
          0,           0,          31,      -5.609300876,      -5.677769171,      -5.878713388,      -5.807801412,      -5.056316577,      -9.269232225
          0,           0,          32,      -5.632979655,      -5.723233685,      -5.873098048,      -5.802873892,      -5.082493005,      -9.294437512
          0,           0,          33,      -5.655470258,      -5.738117502,      -5.874434092,      -5.800493821,      -5.106051044,      -9.308666851
          0,           0,          34,      -5.683319072,      -5.760111955,      -5.887756482,      -5.811814597,      -5.134371715,      -9.301615093
          0,           0,          35,      -5.716574233,       -5.77669636,       -5.92029164,        -5.8407857,      -5.166635416,      -9.257264811
          0,           0,          36,      -5.764459089,      -5.822919203,      -5.973107869,      -5.879462733,      -5.213971425,      -9.194644773
          0,           0,          37,      -5.793218774,      -5.828803137,       -6.02448801,       -5.92007305,      -5.238598308,      -9.149164977
          0,           0,          38,      -5.819824591,      -5.835649508,      -6.078847462,      -5.964561327,      -5.263902822,      -9.086641463
          0,           0,          39,       -5.82530666,      -5.816575205,      -6.111567454,       -5.99691493,      -5.268891153,      -8.994497391
          0,           0,          40,      -5.806217388,      -5.755832637,      -6.120042414,      -6.004326622,      -5.247289351,      -8.926459013
          0,           0,          41,      -5.785939753,      -5.738635311,       -6.11390113,      -5.998244914,      -5.228833557,       -8.89005918
          0,           0,          42,      -5.769134287,      -5.720540287,      -6.116015953,      -5.996675306,      -5.212048088,      -8.870374653
          0,           0,          43,      -5.761309465,      -5.687709094,       -6.10115486,      -5.991978001,      -5.202623728,      -8.867562344
          0,           0,          44,      -5.762482814,      -5.660732863,      -6.108608516,      -5.985218599,      -5.202931381,      -8.882667161
          0,           0,          45,       -5.75233968,       -5.65324268,      -6.098586177,      -5.988154832,      -5.190892253,      -8.923084551
          0,           0,          46,      -5.780624019,       -5.67411561,      -6.120899722,      -6.015397188,      -5.219173525,      -8.972806554
          0,           0,          47,      -5.811917791,      -5.695751132,      -6.150387491,       -6.02828463,         -5.249548,      -8.967642472
          0,           0,          48,      -5.824388399,      -5.652414178,      -6.174111165,      -6.024432316,      -5.258607492,       -8.97680929
          0,           0,          49,      -5.816311468,      -5.618046879,      -6.175646206,      -6.069803673,       -5.24207657,      -8.925177757
          0,           0,          50,      -5.880004314,      -5.710927301,      -6.227664097,      -6.101986862,      -5.305994093,      -8.873462759
          0,           0,          51,      -5.991162348,      -5.845274722,      -6.255479954,      -6.124625094,      -5.418599604,      -8.833417826
          0,           0,          52,      -6.025574311,       -5.82385769,      -6.257325522,      -6.113734511,      -5.448568623,      -8.783396944
          0,           0,          53,      -6.039865333,       -5.86691731,      -6.283237715,      -6.127624505,      -5.460976313,      -8.741597789
          0,           0,          54,      -6.119877695,      -5.970938143,      -6.314914759,      -6.144371505,      -5.544422035,      -8.712539073
