Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.836748,0,2.39536,-0,6.05203e-08,0,0,0,0,0,0,0.945786,0.973088,-0.0150421,1.35707,0.958143,-0.110745,0.00107546,9.60152e-05,9.53153e-05,0.00108394,1.12981,0,0,0,0,8.70835
1,0.834858,0,2.38984,-0,6.05182e-08,0,0,0,0,0,0,0.940724,0.973088,-0.0155046,1.35355,0.955934,-0.115163,0.00108028,9.44415e-05,9.45233e-05,0.00108852,1.12976,0,0,0,0,8.72443
2,0.828435,0,2.37107,-0,6.0511e-08,0,0,0,0,0,0,0.924997,0.973088,-0.0168852,1.34269,0.948429,-0.130173,0.00109784,8.91906e-05,9.22804e-05,0.00110532,1.12958,0,0,0,0,8.7795
3,0.821001,0,2.34938,-0,6.05028e-08,0,0,0,0,0,0,0.908648,0.973088,-0.0182579,1.33149,0.93975,-0.147531,0.00112026,8.27011e-05,8.98031e-05,0.00112689,1.12937,0,0,0,0,8.83854
4,0.812718,0,2.32523,-0,6.04941e-08,0,0,0,0,0,0,0.891751,0.973088,-0.0196003,1.32004,0.930092,-0.166848,0.00114692,7.43536e-05,8.64718e-05,0.00115257,1.12916,0,0,0,0,8.90928
5,0.803984,0,2.2998,-0,6.04853e-08,0,0,0,0,0,0,0.874389,0.973088,-0.0208818,1.30839,0.919918,-0.187195,0.00117861,6.40793e-05,8.17719e-05,0.00118318,1.12894,0,0,0,0,8.98598
6,0.795607,0,2.27541,-0,6.04768e-08,0,0,0,0,0,0,0.856652,0.973088,-0.0220659,1.29663,0.910163,-0.206705,0.00121463,5.21712e-05,7.51603e-05,0.00121807,1.12873,0,0,0,0,9.07557
7,0.788618,0,2.25505,-0,6.04692e-08,0,0,0,0,0,0,0.838638,0.973088,-0.0231136,1.28481,0.902019,-0.222993,0.00125317,3.93943e-05,6.62213e-05,0.00125554,1.12854,0,0,0,0,9.17299
8,0.784165,0,2.24203,-0,6.04634e-08,0,0,0,0,0,0,0.82045,0.973088,-0.0239891,1.27303,0.896811,-0.233409,0.00129119,2.68706e-05,5.48103e-05,0.00129263,1.1284,0,0,0,0,9.28284
9,0.845472,0,2.42086,-0,6.05303e-08,0,0,0,0,0,0,0.97006,0.973088,-0.0127713,1.37407,0.968344,-0.0903434,0.0010531,0.000103965,9.95161e-05,0.00106289,1.13006,0,0,0,0,8.62795
10,0.840468,0,2.40623,-0,6.05246e-08,0,0,0,0,0,0,0.955763,0.973088,-0.0141306,1.36403,0.962493,-0.102046,0.00106594,9.91272e-05,9.68773e-05,0.00107492,1.12991,0,0,0,0,8.67675
11,0.902464,0,2.5896,-0,6.06281e-08,0,0,0,0,0,0,1.0786,0.973088,0,1.45268,1.03584,0.0446451,1.22056e-05,4.35609e-05,-0.000466304,0.000468493,1.13248,0,0,0,0,5.75686
12,0.904374,0,2.59297,-0,6.0591e-08,0,0,0,0,0,0,1.07136,0.973088,-0.000985946,1.44731,1.03719,0.0473431,0.00094877,0.00024687,0.000118351,0.000987479,1.13156,0,0,0,0,8.40184
13,0.898912,0,2.57689,-0,6.05837e-08,0,0,0,0,0,0,1.06393,0.973088,-0.00197458,1.44182,1.03076,0.0344832,0.000870862,0.000197559,0.000107528,0.00089944,1.13138,0,0,0,0,7.97724
14,0.892612,0,2.55877,-0,6.05826e-08,0,0,0,0,0,0,1.05615,0.973088,-0.00299116,1.43609,1.02351,0.0199853,0.000875026,0.000179281,0.000107,0.00089959,1.13135,0,0,0,0,7.95081
15,0.886101,0,2.53977,-0,6.05765e-08,0,0,0,0,0,0,1.04789,0.973088,-0.00405492,1.43003,1.01591,0.00478143,0.000897787,0.000166382,0.000108587,0.000919509,1.1312,0,0,0,0,8.0169
16,0.879468,0,2.52036,-0,6.05694e-08,0,0,0,0,0,0,1.03904,0.973088,-0.00517381,1.42356,1.00814,-0.0107423,0.000925098,0.000154857,0.000109875,0.000944383,1.13103,0,0,0,0,8.11579
17,0.872884,0,2.50108,-0,6.05618e-08,0,0,0,0,0,0,1.02951,0.973088,-0.00634536,1.41663,1.00043,-0.0261665,0.000953135,0.000143815,0.000110175,0.0009702,1.13084,0,0,0,0,8.22024
18,0.866525,0,2.48247,-0,6.05546e-08,0,0,0,0,0,0,1.01923,0.973088,-0.007564,1.40918,0.992986,-0.0410593,0.000979613,0.000133479,0.000109388,0.000994698,1.13066,0,0,0,0,8.32362
19,0.860692,0,2.46539,-0,6.05478e-08,0,0,0,0,0,0,1.00816,0.973088,-0.00882243,1.4012,0.986154,-0.0547235,0.00100304,0.000124159,0.000107624,0.00101641,1.13049,0,0,0,0,8.41911
20,0.855275,0,2.44954,-0,6.05416e-08,0,0,0,0,0,0,0.996279,0.973088,-0.0101135,1.39269,0.979814,-0.0674034,0.00102315,0.000116186,0.000105194,0.00103508,1.13034,0,0,0,0,8.49865
21,0.85033,0,2.43507,-0,6.05358e-08,0,0,0,0,0,0,0.983574,0.973088,-0.0114313,1.38364,0.974026,-0.0789789,0.00103941,0.000109493,0.000102367,0.00105016,1.13019,0,0,0,0,8.57054
22,0.783117,0,2.23887,-0,6.046e-08,0,0,0,0,0,0,0.802194,0.973088,-0.0246641,1.26136,0.895546,-0.23594,0.00132629,1.58699e-05,4.12012e-05,0.00132702,1.12832,0,0,0,0,9.39188
