Points_0,Pressure_Coefficient
0.0052468,-4.19685
0.0052468,0.678338
1,0.0505127
0.00497035,-3.87119
0.00468894,-3.81151
0.00440454,-3.92641
0.00411905,-4.05532
0.00383429,-4.09943
0.00355211,-4.03901
0.00327449,-3.82689
0.00300359,-3.43535
0.00274188,-2.92756
0.00249225,-2.43543
0.00225763,-2.12009
0.00203403,-1.82577
0.00182002,-1.54618
0.001616,-1.38878
0.00142239,-1.45211
0.00123958,-1.24517
0.00106797,-1.21214
0.00090796,-1.23549
0.000759933,-1.38177
0.000624253,-1.59696
0.000501309,-1.78222
0.000391479,-1.8843
0.00029492,-2.09642
0.000211772,-2.35453
0.000142169,-2.60802
8.62E-05,-2.77752
4.41E-05,-2.83736
1.59E-05,-2.82354
1.77E-06,-2.72628
1.77E-06,-2.57592
1.59E-05,-2.37811
4.41E-05,-2.17757
8.62E-05,-2.0078
0.000142169,-1.87356
0.000211772,-1.76752
0.00029492,-1.67876
0.000391479,-1.5982
0.000501309,-1.52371
0.000624253,-1.4507
0.000759933,-1.37755
0.00090796,-1.30125
0.00106797,-1.22049
0.00123958,-1.13609
0.00142239,-1.04963
0.001616,-0.963963
0.00182002,-0.885327
0.00203403,-0.818572
0.00225763,-0.751191
0.00249225,-0.62341
0.00274188,-0.355615
0.00300359,-0.00310734
0.00327449,0.332964
0.00355211,0.592349
0.00383429,0.764531
0.00411905,0.842251
0.00440454,0.791662
0.00468894,0.658779
0.00497035,0.539967
0.0076176,0.936975
0.01102,1.09064
0.0157827,1.17997
0.0220569,1.09759
0.0299477,0.674917
0.0394966,0.443251
0.0506987,0.441539
0.0635184,0.250018
0.0779001,0.219937
0.0937761,0.00139445
0.111071,0.0897607
0.129704,-0.0684341
0.149594,0.0202546
0.170655,-0.0151641
0.192803,0.0746224
0.215954,0.0702585
0.240024,0.11737
0.26493,0.13631
0.29059,0.163689
0.316923,0.183134
0.343849,0.198444
0.371288,0.210773
0.399163,0.21957
0.427395,0.224724
0.455908,0.224311
0.484625,0.219303
0.513468,0.211471
0.54236,0.201155
0.571224,0.188883
0.599982,0.175423
0.628554,0.161517
0.65686,0.147977
0.684816,0.134689
0.712339,0.122207
0.739342,0.110753
0.765735,0.100624
0.791425,0.0912541
0.816315,0.0822152
0.840302,0.0741289
0.86328,0.0665274
0.885133,0.0583828
0.905738,0.0514216
0.924959,0.0442693
0.942648,0.0376645
0.958634,0.0319348
0.972714,0.0269531
0.984632,0.0219454
0.994016,0.020293
0.998087,0.0357957
0.990378,0.0175291
0.979716,-0.00395316
0.966647,-0.0170004
0.95149,-0.0290397
0.93448,-0.0410086
0.915811,-0.0535041
0.895647,-0.0678001
0.874137,-0.0830032
0.851414,-0.0989945
0.827601,-0.11673
0.802813,-0.136415
0.777158,-0.158311
0.75074,-0.182084
0.723656,-0.207499
0.696001,-0.234531
0.667867,-0.262955
0.639341,-0.291532
0.61051,-0.32202
0.581459,-0.353953
0.552269,-0.386229
0.523024,-0.419813
0.493802,-0.455381
0.464686,-0.49446
0.435754,-0.538162
0.407086,-0.587978
0.378762,-0.64592
0.350863,-0.713781
0.323469,-0.79293
0.296663,-0.885991
0.270527,-0.996253
0.245145,-1.1255
0.220603,-1.28004
0.196985,-1.46326
0.174379,-1.56617
0.152872,-1.80787
0.132552,-1.97596
0.113506,-2.22065
0.0958204,-2.2357
0.0795787,-2.42471
0.06486,-2.50832
0.0517355,-2.6387
0.0402641,-2.77136
0.0304849,-2.83154
0.0224054,-3.12274
0.0159857,-2.80133
0.0111199,-3.37749
0.00765159,-3.91533
