Points_0,Pressure_Coefficient
0.0052468,-5.83626
0.0052468,0.360243
1,-0.436721
0.00497035,-5.82647
0.00468894,-5.536
0.00440454,-5.25579
0.00411905,-5.08762
0.00383429,-5.00842
0.00355211,-4.99986
0.00327449,-5.05244
0.00300359,-5.14189
0.00274188,-5.25802
0.00249225,-5.36273
0.00225763,-5.40765
0.00203403,-5.37917
0.00182002,-5.30568
0.001616,-5.21374
0.00142239,-5.11017
0.00123958,-4.99291
0.00106797,-4.85938
0.00090796,-4.72988
0.000759933,-4.62421
0.000624253,-4.52339
0.000501309,-4.40977
0.000391479,-4.28138
0.00029492,-4.1362
0.000211772,-3.98029
0.000142169,-3.81658
8.62E-05,-3.64845
4.41E-05,-3.47742
1.59E-05,-3.30459
1.77E-06,-3.13054
1.77E-06,-2.95591
1.59E-05,-2.78156
4.41E-05,-2.6083
8.62E-05,-2.43688
0.000142169,-2.26792
0.000211772,-2.10181
0.00029492,-1.93859
0.000391479,-1.77926
0.000501309,-1.62493
0.000624253,-1.47543
0.000759933,-1.33175
0.00090796,-1.19423
0.00106797,-1.06304
0.00123958,-0.937628
0.00142239,-0.819753
0.001616,-0.709483
0.00182002,-0.608212
0.00203403,-0.519935
0.00225763,-0.433433
0.00249225,-0.337651
0.00274188,-0.228043
0.00300359,-0.13481
0.00327449,-0.0653194
0.00355211,-0.0124
0.00383429,0.0370265
0.00411905,0.0937556
0.00440454,0.143389
0.00468894,0.161007
0.00497035,0.193326
0.0076176,0.680058
0.01102,0.843833
0.0157827,0.943732
0.0220569,0.960176
0.0299477,0.92303
0.0394966,0.848687
0.0506987,0.763384
0.0635184,0.705609
0.0779001,0.653127
0.0937761,0.591352
0.111071,0.530683
0.129704,0.472431
0.149594,0.418387
0.170655,0.370553
0.192803,0.328421
0.215954,0.291427
0.240024,0.259065
0.26493,0.23077
0.29059,0.205987
0.316923,0.184284
0.343849,0.165148
0.371288,0.148158
0.399163,0.133188
0.427395,0.120131
0.455908,0.108693
0.484625,0.09852
0.513468,0.089437
0.54236,0.081248
0.571224,0.0737979
0.599982,0.0669272
0.628554,0.0605024
0.65686,0.0544429
0.684816,0.0485862
0.712339,0.0428753
0.739342,0.037223
0.765735,0.03151
0.791425,0.0256602
0.816315,0.0195831
0.840302,0.013058
0.86328,0.00578273
0.885133,-0.00265306
0.905738,-0.0133077
0.924959,-0.0272307
0.942648,-0.0419984
0.958634,-0.0556894
0.972714,-0.0364031
0.984632,0.115061
0.994016,0.438051
0.998087,0.0545455
0.990378,0.20389
0.979716,0.295831
0.966647,0.351367
0.95149,0.32125
0.93448,0.256087
0.915811,0.175363
0.895647,0.110099
0.874137,0.0597343
0.851414,0.0142095
0.827601,-0.0153974
0.802813,-0.0396038
0.777158,-0.0651218
0.75074,-0.0947016
0.723656,-0.131155
0.696001,-0.174122
0.667867,-0.219503
0.639341,-0.262706
0.61051,-0.307865
0.581459,-0.356513
0.552269,-0.406514
0.523024,-0.457384
0.493802,-0.508517
0.464686,-0.560612
0.435754,-0.615165
0.407086,-0.671975
0.378762,-0.731234
0.350863,-0.793146
0.323469,-0.858548
0.296663,-0.928094
0.270527,-1.00298
0.245145,-1.08324
0.220603,-1.16972
0.196985,-1.26342
0.174379,-1.36498
0.152872,-1.47643
0.132552,-1.60052
0.113506,-1.7402
0.0958204,-1.8993
0.0795787,-2.08389
0.06486,-2.29952
0.0517355,-2.55036
0.0402641,-2.84721
0.0304849,-3.19987
0.0224054,-3.60052
0.0159857,-4.03638
0.0111199,-4.33625
0.00765159,-4.53207
