Points_0,Pressure_Coefficient
0.0052468,-11.4526
0.0052468,-1.87308
1,0.164671
0.00497035,-12.1126
0.00468894,-11.2622
0.00440454,-10.9358
0.00411905,-10.6298
0.00383429,-10.659
0.00355211,-10.7851
0.00327449,-11.0327
0.00300359,-11.3474
0.00274188,-11.7239
0.00249225,-12.0229
0.00225763,-12.1561
0.00203403,-12.1868
0.00182002,-12.1845
0.001616,-12.169
0.00142239,-12.1455
0.00123958,-12.1108
0.00106797,-12.0627
0.00090796,-11.9989
0.000759933,-11.918
0.000624253,-11.8187
0.000501309,-11.6986
0.000391479,-11.5562
0.00029492,-11.3926
0.000211772,-11.2097
0.000142169,-11.0091
8.62E-05,-10.7923
4.41E-05,-10.5605
1.59E-05,-10.3145
1.77E-06,-10.0549
1.77E-06,-9.78229
1.59E-05,-9.49853
4.41E-05,-9.20577
8.62E-05,-8.906
0.000142169,-8.60088
0.000211772,-8.2918
0.00029492,-7.97987
0.000391479,-7.6657
0.000501309,-7.34985
0.000624253,-7.03434
0.000759933,-6.72147
0.00090796,-6.41268
0.00106797,-6.10949
0.00123958,-5.81334
0.00142239,-5.52543
0.001616,-5.24577
0.00182002,-4.97831
0.00203403,-4.7289
0.00225763,-4.46782
0.00249225,-4.16426
0.00274188,-3.85831
0.00300359,-3.57618
0.00327449,-3.31787
0.00355211,-3.09322
0.00383429,-2.91596
0.00411905,-2.75576
0.00440454,-2.64698
0.00468894,-2.86786
0.00497035,-2.6359
0.0076176,-1.09057
0.01102,-0.312111
0.0157827,0.255949
0.0220569,0.630777
0.0299477,0.855073
0.0394966,0.963847
0.0506987,1.00074
0.0635184,0.993306
0.0779001,0.961142
0.0937761,0.915774
0.111071,0.864501
0.129704,0.811496
0.149594,0.759272
0.170655,0.70921
0.192803,0.662068
0.215954,0.618195
0.240024,0.577702
0.26493,0.540531
0.29059,0.506566
0.316923,0.475606
0.343849,0.447436
0.371288,0.421826
0.399163,0.398541
0.427395,0.377381
0.455908,0.358122
0.484625,0.340565
0.513468,0.324519
0.54236,0.309828
0.571224,0.29638
0.599982,0.284029
0.628554,0.272685
0.65686,0.262257
0.684816,0.252698
0.712339,0.243988
0.739342,0.236098
0.765735,0.229044
0.791425,0.222821
0.816315,0.217562
0.840302,0.213249
0.86328,0.210162
0.885133,0.208047
0.905738,0.208272
0.924959,0.208672
0.942648,0.217776
0.958634,0.224846
0.972714,0.282642
0.984632,0.287036
0.994016,0.647841
0.998087,0.039723
0.990378,0.435962
0.979716,0.168798
0.966647,0.192088
0.95149,0.111326
0.93448,0.0703177
0.915811,0.0187104
0.895647,-0.0257
0.874137,-0.0712665
0.851414,-0.11519
0.827601,-0.159129
0.802813,-0.202788
0.777158,-0.246839
0.75074,-0.29148
0.723656,-0.337018
0.696001,-0.383793
0.667867,-0.432149
0.639341,-0.482371
0.61051,-0.53474
0.581459,-0.589611
0.552269,-0.647367
0.523024,-0.708342
0.493802,-0.772903
0.464686,-0.841442
0.435754,-0.914475
0.407086,-0.992523
0.378762,-1.07615
0.350863,-1.16605
0.323469,-1.263
0.296663,-1.36801
0.270527,-1.48233
0.245145,-1.60737
0.220603,-1.74503
0.196985,-1.89765
0.174379,-2.06827
0.152872,-2.26084
0.132552,-2.48047
0.113506,-2.73381
0.0958204,-3.02971
0.0795787,-3.37962
0.06486,-3.79824
0.0517355,-4.30392
0.0402641,-4.91902
0.0304849,-5.66224
0.0224054,-6.54297
0.0159857,-7.6258
0.0111199,-8.63269
0.00765159,-9.33759
