"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -6.301849851,      -6.064104267,      -6.063537423,      -6.264998126
          0,           0,           1,      -5.988307588,      -5.965697214,       -5.93600851,      -6.423240692
          0,           0,           2,      -5.868717204,      -5.818865475,      -5.981085895,      -6.393473695
          0,           0,           3,      -5.875876173,      -5.785057614,      -6.011096275,      -6.368411362
          0,           0,           4,      -5.844013709,      -5.734041311,      -6.048748698,      -6.364235184
          0,           0,           5,       -5.84408107,      -5.709620565,      -6.083930498,      -6.357178327
          0,           0,           6,      -5.842673406,      -5.681283106,      -6.119205607,      -6.356066653
          0,           0,           7,      -5.850282316,      -5.659590896,      -6.168548219,      -6.348458075
          0,           0,           8,      -5.868579974,      -5.648900817,      -6.180109068,      -6.353260788
          0,           0,           9,       -5.87837382,       -5.63523682,      -6.183836438,      -6.360854442
          0,           0,          10,        -5.8829032,      -5.618343215,      -6.198356872,       -6.35801105
          0,           0,          11,      -5.888291793,      -5.602901141,      -6.211529297,      -6.351529808
          0,           0,          12,      -5.892937331,      -5.589889951,      -6.221282363,      -6.347822797
          0,           0,          13,      -5.895417642,      -5.579339299,      -6.229979608,      -6.347107734
          0,           0,          14,      -5.896842016,      -5.571741884,      -6.237495357,      -6.348334746
          0,           0,          15,      -5.898657088,      -5.567648607,      -6.243815172,      -6.351216234
          0,           0,          16,      -5.901401258,      -5.567154645,      -6.250051474,      -6.355973436
          0,           0,          17,      -5.905228655,      -5.569971419,       -6.25689902,       -6.36259052
          0,           0,          18,      -5.910319865,      -5.575627081,       -6.26403379,      -6.370645736
          0,           0,          19,       -5.91677484,      -5.583533155,      -6.270763243,      -6.379494286
          0,           0,          20,      -5.924436502,      -5.592991509,      -6.276484079,      -6.388419921
          0,           0,          21,      -5.932862292,      -5.603205875,      -6.280620012,      -6.396708322
          0,           0,          22,       -5.94137811,      -5.613313664,      -6.282579143,      -6.403705503
          0,           0,          23,      -5.949158609,      -5.622463015,      -6.281984695,      -6.408959415
          0,           0,          24,      -5.955395165,      -5.629962728,      -6.278951011,      -6.412416811
          0,           0,          25,      -5.959587907,      -5.635481919,      -6.274128831,      -6.414515631
          0,           0,          26,      -5.961788687,      -5.639145622,      -6.268459441,      -6.415819877
          0,           0,          27,      -5.962492439,      -5.641290796,      -6.263158525,      -6.416182785
          0,           0,          28,      -5.962533543,      -5.642339049,      -6.260311768,      -6.415854735
          0,           0,          29,      -5.963071077,       -5.64309792,      -6.261656677,      -6.417041891
          0,           0,          30,      -5.965043136,       -5.64444032,      -6.267092133,      -6.421381181
          0,           0,          31,      -5.969142912,      -5.647135121,      -6.275646206,      -6.429010337
          0,           0,          32,      -5.975554676,      -5.651688594,       -6.28575632,      -6.438648653
          0,           0,          33,      -5.984266383,      -5.658612494,      -6.295382387,      -6.448991141
          0,           0,          34,      -5.996022758,      -5.668813377,      -6.305376013,      -6.462477335
          0,           0,          35,      -6.011203522,      -5.682677682,      -6.317601943,      -6.479899296
          0,           0,          36,      -6.030314013,      -5.700686162,      -6.332326664,      -6.501159554
          0,           0,          37,      -6.053512341,      -5.723149249,       -6.34958099,      -6.526720009
          0,           0,          38,      -6.080197898,      -5.749818487,      -6.370149063,       -6.55637467
          0,           0,          39,      -6.109447383,      -5.780132092,      -6.394886743,       -6.58949309
          0,           0,          40,       -6.14047516,      -5.813514152,       -6.42376181,       -6.62556896
          0,           0,          41,      -6.172696672,       -5.84941451,      -6.456078485,      -6.664193184
          0,           0,          42,      -6.205706408,      -5.887262283,      -6.491101482,      -6.704868841
          0,           0,          43,      -6.239342051,      -5.926507226,      -6.528137488,      -6.746956016
          0,           0,          44,      -6.273712461,       -5.96670777,      -6.566362021,      -6.789729726
          0,           0,          45,      -6.309123389,      -6.007586679,      -6.604821073,      -6.832474951
          0,           0,          46,      -6.345947649,       -6.04904374,      -6.642541799,      -6.874611542
          0,           0,          47,       -6.38448197,      -6.091119899,      -6.678622056,      -6.915812717
          0,           0,          48,      -6.424777266,      -6.133877369,      -6.712264404,      -6.955976442
          0,           0,          49,      -6.466375768,      -6.177143581,      -6.742678895,         -6.994851
          0,           0,          50,      -6.507925994,      -6.220124614,      -6.769071094,       -7.03121616
          0,           0,          51,      -6.547268269,      -6.261414518,      -6.791728266,      -7.062811775
          0,           0,          52,      -6.583123612,      -6.300272724,      -6.812865897,      -7.089395123
          0,           0,          53,      -6.616561547,      -6.337616248,      -6.834520757,      -7.114354399
          0,           0,          54,      -6.649475308,      -6.374925632,      -6.857771468,      -7.140689921
          0,           0,          55,      -6.682866195,       -6.41293954,      -6.882485913,      -7.168612228
          0,           0,          56,      -6.716697554,      -6.451281252,      -6.908217777,      -7.197070844
          0,           0,          57,      -6.749888671,      -6.488609003,      -6.935104073,      -7.224723623
          0,           0,          58,      -6.781140176,      -6.523374506,      -6.962904613,      -7.250500672
          0,           0,          59,      -6.809613227,       -6.55438597,      -6.991023663,        -7.2741945
          0,           0,          60,      -6.834899678,      -6.580936341,      -7.018890105,      -7.296023563
          0,           0,          61,      -6.857083718,      -6.602967029,      -7.045924977,      -7.316136938
          0,           0,          62,      -6.876812903,      -6.621154172,      -7.071807385,       -7.33472289
          0,           0,          63,      -6.895180501,      -6.636754363,      -7.096664783,         -7.352231
          0,           0,          64,      -6.913497807,      -6.651308951,      -7.120823908,      -7.369358069
          0,           0,          65,      -6.933005273,      -6.666337999,       -7.14451844,      -7.386893852
          0,           0,          66,      -6.954623177,      -6.683121934,      -7.167861585,      -7.405585259
          0,           0,          67,      -6.978841591,      -6.702605496,      -7.190976682,      -7.426064032
          0,           0,          68,      -7.005732141,      -6.725383656,      -7.214094647,      -7.448811213
          0,           0,          69,      -7.034999215,      -6.751703524,      -7.237556598,      -7.474117059
          0,           0,          70,      -7.066017038,       -6.78144055,      -7.261713787,      -7.502017603
          0,           0,          71,      -7.097866144,      -6.814041466,      -7.286778296,       -7.53222804
          0,           0,          72,      -7.129436596,      -6.848463409,      -7.312830983,      -7.564088665
          0,           0,          73,      -7.159627706,      -6.883192462,      -7.339940921,      -7.596566882
          0,           0,          74,      -7.187588969,      -6.916423003,      -7.368098558,      -7.628409733
          0,           0,          75,      -7.212920859,      -6.946409237,      -7.397091928,      -7.658373521
          0,           0,          76,      -7.235768308,       -6.97193361,      -7.426501191,      -7.685464881
          0,           0,          77,      -7.256763714,      -6.992706728,       -7.45574634,      -7.709206804
          0,           0,          78,      -7.276821058,      -7.009433798,      -7.484173586,      -7.729785845
          0,           0,          79,      -7.296861207,      -7.023484473,      -7.511217289,       -7.74795073
          0,           0,          80,      -7.317585079,      -7.036395473,      -7.536588922,      -7.764735664
          0,           0,          81,      -7.339356642,      -7.049476148,      -7.560382034,      -7.781175335
          0,           0,          82,      -7.362183574,      -7.063616393,      -7.583033342,      -7.798113064
          0,           0,          83,       -7.38575677,      -7.079253719,      -7.605171571,      -7.816111352
          0,           0,          84,      -7.409521541,      -7.096424434,      -7.627429129,      -7.835433771
          0,           0,          85,      -7.432771242,      -7.114848926,      -7.650281145,      -7.856067834
          0,           0,          86,       -7.45476084,      -7.134029237,      -7.673944826,      -7.877770872
          0,           0,          87,      -7.474831202,       -7.15335122,      -7.698343495,      -7.900129917
          0,           0,          88,      -7.492520474,      -7.172184601,      -7.723124125,      -7.922628859
          0,           0,          89,       -7.50763053,      -7.189969405,      -7.747715391,      -7.944714385
          0,           0,          90,      -7.520227994,      -7.206275561,      -7.771419691,      -7.965852306
          0,           0,          91,      -7.530588717,      -7.220829687,      -7.793535791,      -7.985571157
          0,           0,          92,      -7.539119785,      -7.233515655,      -7.813497527,      -8.003497058
          0,           0,          93,      -7.546294434,      -7.244363808,      -7.830992182,      -8.019386461
