"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633242182051635e-05, 5.837119471929819e-01, -1.345591068811471e+00, -1.313355935008087e-01, 3.644645507055384e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.348366409015559e+00
1, 9.990000128750000e-01, -1.454719494968527e-04, 4.038787937012629e-02, -2.126663817148161e-01, -9.625931462780433e-02, 3.327745602362388e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.372091558416305e+00
2, 9.977599978450000e-01, -3.275032247734840e-04, 1.351322358766629e-02, -1.237257667848001e-01, -1.347373930974074e-01, 2.008148656457326e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.112776792653229e-01
3, 9.960200190539999e-01, -5.899047274202857e-04, -2.123147456202759e-02, -5.569475339745460e-02, -1.308747914233301e-01, 6.581474374937709e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.072913047540109e-01
4, 9.937800168990000e-01, -9.470137413508699e-04, -5.526226589043858e-02, 6.098415331950546e-03, -1.398521577492962e-01, -6.818431405698537e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.035674086869825e-02
5, 9.910500049590000e-01, -1.421872091416564e-03, -7.178935522955109e-02, 3.760342731030622e-02, -1.537980477659357e-01, -1.268624497223084e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.996095662104780e-02
6, 9.878399968150000e-01, -2.045007633216083e-03, -7.839861737159640e-02, 5.358236775016876e-02, -1.726704898255991e-01, -1.556188251504530e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.013973738148351e-02
7, 9.841300249100000e-01, -2.852676895414197e-03, -7.388437970834777e-02, 5.284003330910198e-02, -1.952388787403996e-01, -1.524464354151375e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.298108029589290e-02
8, 9.799500107769999e-01, -3.857169969380504e-03, -5.733098961882330e-02, 3.450132435387238e-02, -2.185457609237622e-01, -1.166503855508480e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.681599723103700e-02
9, 9.752799868580000e-01, -5.055677595205730e-03, -2.927113841324158e-02, -4.533768254246986e-04, -2.384570334907961e-01, -4.997829581374936e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.053739802777326e-02
10, 9.701499938960000e-01, -6.401522560188855e-03, 7.669551381302517e-03, -4.808097611871343e-02, -2.505750430636510e-01, 4.078300784530304e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.445584566546185e-02
11, 9.645400047300000e-01, -7.836484933158215e-03, 4.839407899015696e-02, -1.012857761176976e-01, -2.515024243920639e-01, 1.425556165868994e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.426228957396200e-03
12, 9.584699869160000e-01, -9.285624439888179e-03, 8.533222864525349e-02, -1.501841074223409e-01, -2.403768439849852e-01, 2.361617809405817e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.278896769797783e-03
13, 9.519400000570000e-01, -1.069411736770585e-02, 1.110640247767331e-01, -1.852840897666757e-01, -2.202744223864505e-01, 3.016096993059612e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.342477337397393e-03
14, 9.449599981310000e-01, -1.203468064723591e-02, 1.218363353685075e-01, -2.016467538616933e-01, -1.970868355359113e-01, 3.285376645003963e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.937993184094857e-03
15, 9.375399947170000e-01, -1.331249924469949e-02, 1.199366773577354e-01, -2.016459866016801e-01, -1.766963680913854e-01, 3.223607532603603e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.614114305629828e-03
16, 9.296900033950000e-01, -1.455577627317812e-02, 1.117994521783790e-01, -1.928437117059837e-01, -1.624489250083978e-01, 2.995927563600042e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.982317548755272e-03
17, 9.214000105860000e-01, -1.580380210635701e-02, 1.035145009056985e-01, -1.828511683024212e-01, -1.544552353702534e-01, 2.767276106975009e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.903763189538301e-03
18, 9.126999974250000e-01, -1.708482663028718e-02, 9.886798437474835e-02, -1.765713213850454e-01, -1.512727822869668e-01, 2.631568926214592e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.104138247008896e-03
19, 9.035800099370001e-01, -1.842095236970259e-02, 9.862632124405099e-02, -1.752928225145298e-01, -1.507690032613599e-01, 2.614520022336632e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.226736317035845e-03
20, 8.940600156780000e-01, -1.981677700131641e-02, 1.023843768373768e-01, -1.787377199047933e-01, -1.512906846348484e-01, 2.700695394510238e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.336157236058211e-03
21, 8.841500282290000e-01, -2.126855478893899e-02, 1.089797747876165e-01, -1.856043130725377e-01, -1.517399750319256e-01, 2.861822967134900e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.578234614071255e-03
22, 8.738499879840000e-01, -2.276885383914524e-02, 1.171888049845140e-01, -1.944739583151259e-01, -1.515512554245755e-01, 3.066190752836708e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.039242769969885e-03
23, 8.631799817090000e-01, -2.430608305415975e-02, 1.262156355128987e-01, -2.043505744263685e-01, -1.507157055917529e-01, 3.290064675350571e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.622979359099322e-03
24, 8.521599769590000e-01, -2.586987226068129e-02, 1.353780911264902e-01, -2.144299530407258e-01, -1.492662202046143e-01, 3.519557843303281e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.393585105155119e-03
25, 8.407700061800000e-01, -2.745741036518118e-02, 1.445849652722963e-01, -2.245456168832630e-01, -1.474846967445659e-01, 3.747943958974045e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.212897952110445e-03
26, 8.290500044819999e-01, -2.905917935527333e-02, 1.537051607357034e-01, -2.345505194464796e-01, -1.454523401067806e-01, 3.976420990852160e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.104926904656231e-03
27, 8.170099854470000e-01, -3.067101767566136e-02, 1.629207783877688e-01, -2.446262835678734e-01, -1.432993869306226e-01, 4.206561412010053e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.974416780350981e-03
28, 8.046399950980000e-01, -3.229174079974970e-02, 1.723550716734870e-01, -2.549029568810642e-01, -1.410451848421074e-01, 4.442414162058276e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.770851502952732e-03
29, 7.919700145720000e-01, -3.391476664637572e-02, 1.820956975696313e-01, -2.655067305942147e-01, -1.386448680117680e-01, 4.687020129714158e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.506841061315167e-03
30, 7.790099978450000e-01, -3.553585619959418e-02, 1.922806489590306e-01, -2.765589585708625e-01, -1.361204361453460e-01, 4.941233461834499e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.231783445729697e-03
31, 7.657799720760000e-01, -3.714912640429924e-02, 2.028202714456876e-01, -2.879849802218794e-01, -1.333688593511215e-01, 5.205866225029620e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.122715590662780e-03
32, 7.522799968720000e-01, -3.875079297239310e-02, 2.137412258072758e-01, -2.997951477034190e-01, -1.304006929137499e-01, 5.479319279198930e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.131800297228792e-03
33, 7.385200262070000e-01, -4.033556873281603e-02, 2.248606254433719e-01, -3.117967190794049e-01, -1.271297877601917e-01, 5.759928137347997e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.180081319859565e-03
34, 7.245299816130000e-01, -4.189586718228117e-02, 2.361479512800158e-01, -3.239415574813289e-01, -1.235748621382685e-01, 6.043840578422700e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.142211321498442e-03
35, 7.103199958800001e-01, -4.342653146308613e-02, 2.474408804966159e-01, -3.360545609655798e-01, -1.196895364214709e-01, 6.328942752563423e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.055584171487723e-03
36, 6.958900094030001e-01, -4.492360835042594e-02, 2.587544006375357e-01, -3.481445656354166e-01, -1.155237539628708e-01, 6.613609415192433e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.691528311517097e-04
37, 6.812700033190000e-01, -4.638030977219276e-02, 2.700122584339757e-01, -3.601352651567787e-01, -1.110542688654781e-01, 6.897509707911037e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.653312487257459e-04
38, 6.664699912070000e-01, -4.779238920672499e-02, 2.811707949453202e-01, -3.719742997438775e-01, -1.063379464328087e-01, 7.178075717288682e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.204495465705891e-04
39, 6.514999866490000e-01, -4.915601338851082e-02, 2.920320087528799e-01, -3.834520957178394e-01, -1.013620038605283e-01, 7.451884403568183e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.857834612747509e-04
40, 6.363800168040000e-01, -5.046696163306285e-02, 3.025140414916335e-01, -3.944856107640700e-01, -9.618897408997414e-02, 7.715359031036648e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.780002881320318e-04
41, 6.211299896240000e-01, -5.172168961153981e-02, 3.124492005527019e-01, -4.049026547738245e-01, -9.081744992158053e-02, 7.965867410276851e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.470461703452628e-04
42, 6.057599782940000e-01, -5.291807692651673e-02, 3.217987086022123e-01, -4.146628416715855e-01, -8.532032637464299e-02, 8.200702247142150e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.303615181305761e-04
43, 5.902799963950000e-01, -5.405450996929684e-02, 3.304224937216718e-01, -4.236281979388552e-01, -7.969824994600913e-02, 8.418098486946252e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.038905853464835e-04
44, 5.747100114820000e-01, -5.512919326061858e-02, 3.383259024641943e-01, -4.318114027103549e-01, -7.402826448242722e-02, 8.616456317802806e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.667076492072743e-04
45, 5.590599775310000e-01, -5.614158135733825e-02, 3.454179444655197e-01, -4.391165928654358e-01, -6.831650141219853e-02, 8.795098835222570e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.012934533204988e-04
46, 5.433599948880000e-01, -5.709035729456155e-02, 3.517550332117052e-01, -4.456214230553290e-01, -6.263034567477524e-02, 8.954184656495635e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.772263103861731e-04
47, 5.276100039480000e-01, -5.797652002857346e-02, 3.573253482523318e-01, -4.513090113978267e-01, -5.697025630101023e-02, 9.094540204969477e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.768013855815208e-06
48, 5.118399858470000e-01, -5.879967260787732e-02, 3.622129099416812e-01, -4.562713134446080e-01, -5.138557243828704e-02, 9.216819457335018e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.890906495963498e-04
49, 4.960500001910000e-01, -5.956132444101243e-02, 3.663808703350474e-01, -4.604819588548768e-01, -4.588097275220952e-02, 9.321003740009104e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.305131211534050e-03
50, 4.802699983120000e-01, -6.026168453423949e-02, 3.698229326142252e-01, -4.639410245240195e-01, -4.047363390773697e-02, 9.407362342462863e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.259977461311470e-03
51, 4.645099937920000e-01, -6.090208018345684e-02, 3.725121000981427e-01, -4.666150828170613e-01, -3.515834067626316e-02, 9.474911488484235e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.462295047209336e-03
