"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242474709089e-05, 1.321696243630679e+00, 6.900079387584546e-01, 1.003782198704071e-01, 3.779757941615386e+00
1, 9.990000128750000e-01, -1.454721342502671e-04, 1.190735706932335e+00, 6.956579294491935e-01, 1.017862418754713e-01, 3.417199840814240e+00
2, 9.977599978450000e-01, -3.275052504613112e-04, 1.182952010356368e+00, 7.469290590449666e-01, 1.113988162540359e-01, 3.404819376417970e+00
3, 9.960200190539999e-01, -5.899156594870558e-04, 1.170827969687463e+00, 7.652903718792979e-01, 1.191297377039593e-01, 3.374947870436104e+00
4, 9.937800168990000e-01, -9.470532071400787e-04, 1.163700165675258e+00, 7.722726634249991e-01, 1.292916539660444e-01, 3.356923468070911e+00
5, 9.910500049590000e-01, -1.421981033557501e-03, 1.158834275033144e+00, 7.787503863079350e-01, 1.439767767522175e-01, 3.345250889564910e+00
6, 9.878399968150000e-01, -2.045254839620030e-03, 1.151617751369905e+00, 7.849512553406571e-01, 1.623423939358597e-01, 3.327285345513244e+00
7, 9.841300249100000e-01, -2.853160510626399e-03, 1.140723009585514e+00, 7.948976750613687e-01, 1.826302072901745e-01, 3.300167568600487e+00
8, 9.799500107769999e-01, -3.858003613259683e-03, 1.124793741117721e+00, 8.100741228525091e-01, 2.017223735786771e-01, 3.260452147798936e+00
9, 9.752799868580000e-01, -5.056972028299206e-03, 1.103882807442070e+00, 8.305200325447111e-01, 2.157103683436762e-01, 3.208256254638837e+00
10, 9.701499938960000e-01, -6.403354921279976e-03, 1.079171651524935e+00, 8.545886467891490e-01, 2.213588268669253e-01, 3.146447999369471e+00
11, 9.645400047300000e-01, -7.838883364657521e-03, 1.053274711885724e+00, 8.790279856083542e-01, 2.171381304505458e-01, 3.081450121169457e+00
12, 9.584699869160000e-01, -9.288558715481484e-03, 1.030636637714665e+00, 9.002201277605011e-01, 2.042377313463128e-01, 3.024525753314258e+00
13, 9.519400000570000e-01, -1.069751348190268e-02, 1.014996158992343e+00, 9.156462491431894e-01, 1.863749170703325e-01, 2.985199847544193e+00
14, 9.449599981310000e-01, -1.203844497535711e-02, 1.007314920769319e+00, 9.247046876348364e-01, 1.681826714579304e-01, 2.965925190446668e+00
