"PointID","x","y"
0, 9.997500181200000e-01, -3.633242182080900e-05
1, 9.990000128750000e-01, -1.454719495153281e-04
2, 9.977599978450000e-01, -3.275032249760529e-04
3, 9.960200190539999e-01, -5.899047285134924e-04
4, 9.937800168990000e-01, -9.470137452974488e-04
5, 9.910500049590000e-01, -1.421872102310778e-03
6, 9.878399968150000e-01, -2.045007657936723e-03
7, 9.841300249100000e-01, -2.852676943775718e-03
8, 9.799500107769999e-01, -3.857170052744892e-03
9, 9.752799868580000e-01, -5.055677724649038e-03
10, 9.701499938960000e-01, -6.401522743424964e-03
11, 9.645400047300000e-01, -7.836485173001366e-03
12, 9.584699869160000e-01, -9.285624733315737e-03
13, 9.519400000570000e-01, -1.069411770731727e-02
14, 9.449599981310000e-01, -1.203468102366873e-02
15, 9.375399947170000e-01, -1.331249964934480e-02
16, 9.296900033950000e-01, -1.455577670010450e-02
17, 9.214000105860000e-01, -1.580380255303467e-02
18, 9.126999974250000e-01, -1.708482709707841e-02
19, 9.035800099370001e-01, -1.842095285894792e-02
20, 8.940600156780000e-01, -1.981677751617529e-02
21, 8.841500282290000e-01, -2.126855533259234e-02
22, 8.738499879840000e-01, -2.276885441439001e-02
23, 8.631799817090000e-01, -2.430608366322914e-02
24, 8.521599769590000e-01, -2.586987290530544e-02
25, 8.407700061800000e-01, -2.745741104683497e-02
26, 8.290500044819999e-01, -2.905918007507162e-02
27, 8.170099854470000e-01, -3.067101843448351e-02
28, 8.046399950980000e-01, -3.229174159827182e-02
29, 7.919700145720000e-01, -3.391476748486921e-02
30, 7.790099978450000e-01, -3.553585707790198e-02
31, 7.657799720760000e-01, -3.714912732172027e-02
32, 7.522799968720000e-01, -3.875079392767207e-02
33, 7.385200262070000e-01, -4.033556972406362e-02
34, 7.245299816130000e-01, -4.189586820690511e-02
35, 7.103199958800001e-01, -4.342653251785465e-02
36, 6.958900094030001e-01, -4.492360943151519e-02
37, 6.812700033190000e-01, -4.638031087518588e-02
38, 6.664699912070000e-01, -4.779239032673124e-02
39, 6.514999866490000e-01, -4.915601452025669e-02
40, 6.363800168040000e-01, -5.046696277099490e-02
41, 6.211299896240000e-01, -5.172169074995589e-02
42, 6.057599782940000e-01, -5.291807805969910e-02
43, 5.902799963950000e-01, -5.405451109163888e-02
44, 5.747100114820000e-01, -5.512919436676358e-02
45, 5.590599775310000e-01, -5.614158244230006e-02
46, 5.433599948880000e-01, -5.709035835387580e-02
47, 5.276100039480000e-01, -5.797652105836229e-02
48, 5.118399858470000e-01, -5.879967360499695e-02
49, 4.960500001910000e-01, -5.956132540307392e-02
50, 4.802699983120000e-01, -6.026168545973368e-02
51, 4.645099937920000e-01, -6.090208107175299e-02
52, 4.487800002100000e-01, -6.148380007886517e-02
53, 4.331099987030000e-01, -6.200738392007247e-02
54, 4.174999892710000e-01, -6.247431006668168e-02
55, 4.019699990750000e-01, -6.288516453818047e-02
56, 3.865399956700000e-01, -6.324035659907408e-02
57, 3.712300062180000e-01, -6.354006350196445e-02
58, 3.560400009160000e-01, -6.378448039254146e-02
59, 3.409900069240000e-01, -6.397300308889546e-02
60, 3.261100053790000e-01, -6.410463688844192e-02
61, 3.113999962810000e-01, -6.417830947568987e-02
62, 2.968699932100000e-01, -6.419232710230592e-02
63, 2.825500071050000e-01, -6.414462900305601e-02
64, 2.684499919410000e-01, -6.403285416404557e-02
65, 2.545700073240000e-01, -6.385406780105717e-02
66, 2.409400045870000e-01, -6.360534715766460e-02
67, 2.275699973110000e-01, -6.328331465674646e-02
68, 2.144699990750000e-01, -6.288428441009555e-02
69, 2.016600072380000e-01, -6.240471039498570e-02
70, 1.891400069000000e-01, -6.184014996792641e-02
71, 1.769299954180000e-01, -6.118682126826577e-02
72, 1.650400012730000e-01, -6.044050290825370e-02
73, 1.534900069240000e-01, -5.959769964864778e-02
74, 1.422899961470000e-01, -5.865447721178685e-02
75, 1.314399987460000e-01, -5.760598495994845e-02
76, 1.209499984980000e-01, -5.644814294310518e-02
77, 1.108499988910000e-01, -5.517969561914369e-02
78, 1.011300012470000e-01, -5.379494579814806e-02
79, 9.181000292300000e-02, -5.229224712544388e-02
80, 8.290000259900000e-02, -5.066923782208377e-02
