"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.237896263,      -4.185586811,      -4.827560511,      -3.641516267
          0,           0,           1,      -4.693554933,      -4.562817322,       -4.39395297,      -4.091286822
          0,           0,           2,      -4.598373647,      -4.524037332,      -4.503485071,      -4.011509812
          0,           0,           3,      -4.542602537,      -4.522263283,      -4.656696908,       -3.96561796
          0,           0,           4,      -4.592361992,      -4.658082387,      -4.605731606,      -4.021712174
          0,           0,           5,      -4.567922082,      -4.600487622,      -4.596502073,      -3.988947203
          0,           0,           6,      -4.545809371,      -4.541601131,      -4.589372445,      -3.963408285
          0,           0,           7,      -4.538532958,      -4.542761067,      -4.615082718,      -3.959819229
          0,           0,           8,      -4.533647621,      -4.547575892,       -4.66103462,       -3.96117698
          0,           0,           9,      -4.525431225,      -4.559306062,      -4.650926089,      -3.957109109
          0,           0,          10,      -4.513860846,      -4.561864996,      -4.621275192,      -3.944867214
          0,           0,          11,       -4.50444704,      -4.546330732,      -4.615517524,      -3.934782473
          0,           0,          12,      -4.491537969,      -4.521826366,      -4.641623159,      -3.922714506
          0,           0,          13,      -4.486230685,      -4.516326133,      -4.657405422,      -3.918546148
          0,           0,          14,      -4.490796554,      -4.544322605,      -4.661701343,      -3.924374718
          0,           0,          15,       -4.49964774,      -4.594428527,      -4.679952542,      -3.935655179
          0,           0,          16,      -4.508407481,      -4.636007117,      -4.707070886,      -3.947197861
          0,           0,          17,       -4.51465772,      -4.649404717,      -4.729491479,      -3.954363261
          0,           0,          18,      -4.519109049,      -4.648826713,      -4.750678483,      -3.957604787
          0,           0,          19,       -4.52803298,      -4.662569525,      -4.765760408,      -3.965767857
          0,           0,          20,      -4.539880433,      -4.698139266,       -4.77640126,      -3.978952352
          0,           0,          21,      -4.548467577,      -4.739545991,      -4.793609833,      -3.990135013
          0,           0,          22,       -4.55398545,      -4.768233337,      -4.814178172,       -3.99780217
          0,           0,          23,      -4.557953804,      -4.775806673,        -4.8312037,      -4.002413903
          0,           0,          24,      -4.560048618,      -4.765939811,      -4.843041116,      -4.003936168
          0,           0,          25,      -4.558440689,       -4.74874465,      -4.849280876,      -4.001551377
          0,           0,          26,      -4.552456879,      -4.730632211,       -4.85055358,      -3.995287714
          0,           0,          27,      -4.542637271,      -4.712047525,      -4.848791145,      -3.985662654
          0,           0,          28,      -4.530212797,      -4.692325176,      -4.846415656,      -3.973613847
          0,           0,          29,      -4.515195293,       -4.67136668,      -4.844066984,      -3.958925631
          0,           0,          30,      -4.499980486,      -4.649947178,      -4.842017026,       -3.94423514
          0,           0,          31,      -4.484654595,      -4.630316083,      -4.839466198,      -3.929978488
          0,           0,          32,      -4.465856459,      -4.614111082,      -4.837278011,       -3.91228058
          0,           0,          33,      -4.444795512,      -4.600250836,      -4.835667653,      -3.891133473
          0,           0,          34,      -4.423887866,      -4.590073242,      -4.835212618,      -3.869388094
          0,           0,          35,      -4.407472981,      -4.586576637,      -4.838955774,      -3.852255884
          0,           0,          36,      -4.394923832,      -4.586896722,      -4.843616077,      -3.840078457
          0,           0,          37,      -4.384476483,      -4.590547636,      -4.851572313,      -3.830211705
          0,           0,          38,      -4.375834032,      -4.596542128,      -4.867304617,      -3.821619799
          0,           0,          39,       -4.36894091,      -4.600226948,      -4.890717416,      -3.814106048
          0,           0,          40,      -4.369860234,      -4.605760481,      -4.910847524,      -3.813653108
          0,           0,          41,      -4.377627632,       -4.61924947,      -4.920594864,      -3.820472897
          0,           0,          42,      -4.389853421,      -4.642763931,      -4.924690059,      -3.832266974
          0,           0,          43,      -4.400717275,      -4.665595439,      -4.923882693,      -3.842155244
          0,           0,          44,      -4.414992201,      -4.684217745,      -4.921736707,      -3.854777312
          0,           0,          45,      -4.435042335,       -4.70324468,      -4.922632502,      -3.873259794
          0,           0,          46,      -4.455099801,      -4.724300024,      -4.928860914,      -3.893292649
          0,           0,          47,      -4.468991086,      -4.738965829,       -4.93852748,      -3.907803618
          0,           0,          48,      -4.480157195,      -4.744547304,      -4.951429425,      -3.918655886
          0,           0,          49,      -4.496326593,      -4.753593047,      -4.967471003,      -3.933862519
          0,           0,          50,      -4.513724145,      -4.774193767,      -4.987533695,      -3.950923431
          0,           0,          51,      -4.534003267,      -4.799764522,      -5.005493321,      -3.971535669
          0,           0,          52,      -4.554091552,      -4.820660094,      -5.019688674,      -3.992476006
          0,           0,          53,      -4.574404493,      -4.839092445,      -5.034121189,      -4.013543243
          0,           0,          54,      -4.593714869,       -4.85738478,      -5.050346402,      -4.033285533
          0,           0,          55,       -4.61203652,       -4.87601181,      -5.070468983,       -4.05169096
          0,           0,          56,      -4.632504716,      -4.895968718,      -5.093100856,      -4.072190894
          0,           0,          57,      -4.654012693,      -4.919333735,      -5.117149768,      -4.093827645
          0,           0,          58,      -4.677454508,      -4.948123065,        -5.1416993,      -4.117631323
          0,           0,          59,      -4.701352816,      -4.981607605,      -5.167102281,      -4.141813997
          0,           0,          60,      -4.725951832,      -5.018443769,      -5.193562949,      -4.166591406
          0,           0,          61,      -4.750866115,      -5.056061893,       -5.21965191,      -4.191757883
          0,           0,          62,      -4.776353102,       -5.09221321,      -5.244074861,      -4.217632857
          0,           0,          63,      -4.802221278,      -5.125166652,      -5.266044189,      -4.243864147
          0,           0,          64,       -4.82892915,       -5.15525559,      -5.285481749,      -4.270949609
          0,           0,          65,      -4.857402687,      -5.181764291,      -5.302754313,       -4.29994312
          0,           0,          66,      -4.885944642,       -5.20278362,      -5.318829998,      -4.328954483
          0,           0,          67,      -4.914132459,      -5.218438241,      -5.333954269,      -4.357531192
          0,           0,          68,      -4.941715251,      -5.229440968,      -5.348621241,      -4.385608811
          0,           0,          69,      -4.967971151,      -5.237392681,      -5.363600143,      -4.412520181
          0,           0,          70,      -4.991736971,      -5.243647758,       -5.38024271,      -4.437019471
          0,           0,          71,      -5.012459659,      -5.249363592,      -5.399445339,      -4.458564445
          0,           0,          72,      -5.029956153,      -5.255347564,      -5.421044069,      -4.476968291
          0,           0,          73,      -5.044370452,      -5.261935606,        -5.4441238,      -4.492294345
          0,           0,          74,      -5.056206942,      -5.269152003,      -5.467560407,      -4.504932107
          0,           0,          75,      -5.066095995,       -5.27688255,       -5.49031192,      -4.515424391
          0,           0,          76,      -5.074792073,      -5.284983098,      -5.511487802,      -4.524489943
          0,           0,          77,      -5.083101102,      -5.293354744,      -5.530785539,      -4.532933094
          0,           0,          78,      -5.091593948,      -5.301968214,      -5.548457013,      -4.541322433
          0,           0,          79,       -5.10075389,      -5.310870724,      -5.564439332,      -4.550205083
          0,           0,          80,       -5.11106628,      -5.320294868,      -5.578948391,      -4.560118184
          0,           0,          81,      -5.122938004,      -5.330691809,      -5.592831645,      -4.571488189
          0,           0,          82,      -5.136597782,      -5.342666825,      -5.606705017,      -4.584593166
          0,           0,          83,      -5.151976836,      -5.356767927,      -5.620718167,      -4.599452417
          0,           0,          84,      -5.168808799,       -5.37337398,      -5.634898752,      -4.615884254
          0,           0,          85,      -5.186531476,      -5.392719293,      -5.649315579,      -4.633431209
          0,           0,          86,      -5.204047122,      -5.414969116,       -5.66360593,      -4.651102512
          0,           0,          87,      -5.219808328,      -5.440177803,      -5.677252119,      -4.667375437
          0,           0,          88,       -5.23247358,      -5.468277541,       -5.68990672,      -4.680906209
          0,           0,          89,      -5.240872776,      -5.499023607,      -5.701157345,      -4.690447477
          0,           0,          90,      -5.244245032,      -5.531832249,      -5.710686362,      -4.695061605
          0,           0,          91,      -5.242535113,      -5.565617854,      -5.718492707,      -4.694476044
          0,           0,          92,      -5.236359105,      -5.598727519,       -5.72470739,      -4.689110961
          0,           0,          93,      -5.226727588,      -5.628856007,       -5.72956422,      -4.679872084
          0,           0,          94,      -5.214737807,      -5.653351564,      -5.732758335,      -4.667861364
          0,           0,          95,      -5.201641812,      -5.669825522,       -5.73445202,      -4.654406626
          0,           0,          96,      -5.188457955,      -5.677056039,      -5.735215053,      -4.640606791
          0,           0,          97,      -5.175934698,      -5.675488628,      -5.735450265,      -4.627309131
          0,           0,          98,       -5.16458333,      -5.666897011,      -5.735470389,      -4.615104549
          0,           0,          99,      -5.154870209,      -5.653141691,      -5.736754789,      -4.604510161
          0,           0,         100,      -5.147687344,      -5.638018755,      -5.738882745,      -4.596424824
          0,           0,         101,      -5.144524228,      -5.625288906,      -5.741375157,      -4.592409319
          0,           0,         102,      -5.144339144,      -5.616331119,      -5.743919888,      -4.591398892
          0,           0,         103,      -5.146682478,      -5.610907436,      -5.747377706,      -4.592949957
          0,           0,         104,      -5.151009045,      -5.608819576,      -5.752206002,      -4.596517241
          0,           0,         105,      -5.157865449,      -5.608969406,      -5.758532071,      -4.602713387
          0,           0,         106,      -5.166295813,      -5.609099497,      -5.766980274,      -4.610426166
          0,           0,         107,      -5.177651793,      -5.610950305,      -5.778780527,      -4.620718921
          0,           0,         108,      -5.192021083,      -5.615862836,      -5.794568791,      -4.633808432
          0,           0,         109,      -5.209010957,      -5.623397987,      -5.813540875,      -4.649700793
          0,           0,         110,      -5.228257399,      -5.632419263,      -5.831913886,        -4.6680971
          0,           0,         111,      -5.249931419,      -5.643995256,      -5.850256872,      -4.689046314
          0,           0,         112,       -5.27417664,      -5.658646032,      -5.869446013,      -4.712713774
          0,           0,         113,      -5.300707106,      -5.676220861,      -5.889854013,      -4.738838803
          0,           0,         114,      -5.329554966,       -5.69616383,      -5.911557669,      -4.767530622
          0,           0,         115,      -5.360234099,      -5.717933281,      -5.933976993,      -4.798278226
          0,           0,         116,      -5.392098515,      -5.740530747,      -5.956244832,      -4.830388852
          0,           0,         117,      -5.424775684,      -5.763238107,      -5.977601754,      -4.863477333
          0,           0,         118,      -5.458400082,      -5.786376636,      -5.998005015,      -4.897741717
          0,           0,         119,      -5.492351189,      -5.809715458,      -6.017243958,      -4.932548888
          0,           0,         120,      -5.525887453,      -5.832892163,      -6.035214405,      -4.967141704
          0,           0,         121,      -5.558260643,      -5.855613475,      -6.051867268,      -5.000724273
          0,           0,         122,      -5.589531504,      -5.877784136,      -6.067182711,      -5.033374901
          0,           0,         123,      -5.618479975,      -5.899352584,      -6.081659994,      -5.063683272
          0,           0,         124,      -5.644253543,      -5.920193718,      -6.095373562,      -5.090647657
          0,           0,         125,      -5.666967658,       -5.94015545,      -6.108272698,      -5.114345457
          0,           0,         126,      -5.687006692,      -5.959241731,      -6.120780443,      -5.135133554
          0,           0,         127,      -5.704890628,      -5.977530466,      -6.133176225,      -5.153545962
          0,           0,         128,      -5.721030176,       -5.99503079,      -6.145583289,       -5.17002933
          0,           0,         129,      -5.735650931,      -6.011694303,       -6.15800959,      -5.184866848
          0,           0,         130,      -5.748811804,      -6.027489304,      -6.170303685,      -5.198174787
          0,           0,         131,      -5.760327956,      -6.042461955,      -6.182282705,       -5.20979899
          0,           0,         132,      -5.769819014,      -6.056717243,      -6.193733711,      -5.219364623
          0,           0,         133,      -5.776862811,      -6.070355979,      -6.204477287,      -5.226439826
          0,           0,         134,      -5.781084764,      -6.083427588,      -6.214431972,      -5.230629445
          0,           0,         135,      -5.782367167,      -6.095956992,      -6.223698877,      -5.231793799
          0,           0,         136,       -5.78083525,      -6.107907392,      -6.231924472,      -5.230034026
          0,           0,         137,      -5.776952384,      -6.119225399,       -6.23921904,      -5.225812042
          0,           0,         138,      -5.771366689,      -6.129868071,      -6.245600616,      -5.219792764
          0,           0,         139,        -5.7648498,      -6.139739164,      -6.251130502,      -5.212774705
          0,           0,         140,      -5.758289956,      -6.148788047,      -6.255834684,      -5.205675823
          0,           0,         141,      -5.752572766,      -6.157082049,       -6.25930066,      -5.199421469
          0,           0,         142,       -5.74790693,       -6.16540531,      -6.263106417,      -5.194217083
          0,           0,         143,      -5.744689483,      -6.173748423,      -6.267477504,      -5.190461624
          0,           0,         144,      -5.743303252,      -6.181842366,      -6.272603677,      -5.188585016
          0,           0,         145,       -5.74383387,      -6.189888541,      -6.278610048,      -5.188674705
          0,           0,         146,      -5.746321874,      -6.197760762,      -6.285398255,      -5.190774273
          0,           0,         147,      -5.750750284,      -6.205391495,      -6.292932035,        -5.1948677
          0,           0,         148,      -5.757002076,      -6.212855743,       -6.30081752,      -5.200829775
          0,           0,         149,      -5.764821452,      -6.220640065,      -6.309314983,      -5.208377138
          0,           0,         150,      -5.774137839,      -6.228576775,      -6.318318953,      -5.217455986
          0,           0,         151,      -5.784802286,      -6.236641569,      -6.327522237,      -5.227919807
          0,           0,         152,      -5.796828766,      -6.245099106,      -6.336858756,      -5.239802679
          0,           0,         153,      -5.810242546,      -6.253913283,      -6.346336373,      -5.253146043
          0,           0,         154,       -5.82415855,      -6.262328912,       -6.35584811,      -5.266985595
          0,           0,         155,      -5.838290133,      -6.270765896,      -6.365270598,      -5.280982407
          0,           0,         156,      -5.852412387,       -6.27937933,      -6.374717636,      -5.294973635
          0,           0,         157,      -5.866250791,      -6.288298993,      -6.384502274,      -5.308727697
          0,           0,         158,      -5.879588301,      -6.297591933,      -6.394847539,      -5.322033182
          0,           0,         159,      -5.892296779,       -6.30727767,      -6.405723611,      -5.334757837
