"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.311174654009166e+00, 7.309744083285573e-01, 1.061781413035893e-01, 3.757012058764733e+00
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.172268309618926e+00, 7.258672225775987e-01, 1.053343699553230e-01, 3.371405734675216e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.159933096815694e+00, 7.815927614222331e-01, 1.132379737587214e-01, 3.347875792198734e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.141944526017294e+00, 8.074640171281037e-01, 1.167228055657493e-01, 3.303600542155603e+00
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.128352229579059e+00, 8.218696883709249e-01, 1.184622548173420e-01, 3.269296238067994e+00
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.118657985104575e+00, 8.352081916755828e-01, 1.199620937601812e-01, 3.245582867181378e+00
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.109725406877731e+00, 8.451275499608090e-01, 1.208844826591708e-01, 3.223298760239969e+00
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.101835556258559e+00, 8.538827650604960e-01, 1.215585270906280e-01, 3.203670725604822e+00
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.094562911757800e+00, 8.615528656500190e-01, 1.219941282678863e-01, 3.185533509553702e+00
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.087787545327757e+00, 8.684364593802588e-01, 1.222404145574368e-01, 3.168614030279902e+00
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.081403267658737e+00, 8.746872919410403e-01, 1.223180827334258e-01, 3.152648325171606e+00
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.075330378176532e+00, 8.804207278741504e-01, 1.222494265304868e-01, 3.137439079065524e+00
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.069524844646796e+00, 8.857323209325321e-01, 1.220484807400899e-01, 3.122883464388068e+00
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.063941533116417e+00, 8.906669264392608e-01, 1.217260990054892e-01, 3.108865091926627e+00
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.058555842070908e+00, 8.952872108126231e-01, 1.212940033619110e-01, 3.095328693229143e+00
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.053344705751841e+00, 8.996225913530281e-01, 1.207600375165618e-01, 3.082215875664438e+00
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.048284960644680e+00, 9.037099150814186e-01, 1.201314535535058e-01, 3.069470352460126e+00
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.043354823772067e+00, 9.075758219125993e-01, 1.194169454622005e-01, 3.057037680307211e+00
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.038547265204955e+00, 9.112428792942455e-01, 1.186200320264786e-01, 3.044902636821888e+00
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.033842604026066e+00, 9.147171368922931e-01, 1.177470238155611e-01, 3.033011966682133e+00
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.029240668676904e+00, 9.180345132947150e-01, 1.168041521683906e-01, 3.021373017871349e+00
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.024729622523958e+00, 9.211956398248857e-01, 1.157942451302489e-01, 3.009952757784505e+00
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.020289398544624e+00, 9.242025390316835e-01, 1.147207263763662e-01, 2.998696413634538e+00
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.015928346315886e+00, 9.270965150814461e-01, 1.135907634995414e-01, 2.987636453668197e+00
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.011618465661586e+00, 9.298594756272601e-01, 1.124023718715128e-01, 2.976691669491771e+00
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.007358186386318e+00, 9.325187909717495e-01, 1.111628141191845e-01, 2.965864488864037e+00
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.003138013294066e+00, 9.350708403853695e-01, 1.098702723919018e-01, 2.955127667507831e+00
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.989541605241040e-01, 9.375325733369515e-01, 1.085276331878930e-01, 2.944475041754326e+00
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.947992239052038e-01, 9.399000156916493e-01, 1.071354235115403e-01, 2.933885142316678e+00
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.906742516645149e-01, 9.421779387298632e-01, 1.056919631487537e-01, 2.923361564512291e+00
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.865777831512748e-01, 9.443858044771388e-01, 1.041999850757227e-01, 2.912905345890830e+00
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.824913155614698e-01, 9.465197420141017e-01, 1.026563009960062e-01, 2.902465299073716e+00
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.783851818664210e-01, 9.485781181667934e-01, 1.010587591687957e-01, 2.891961022739838e+00
