"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.863545102,        -13.342423,      -13.37788986,       -1.81583767,      -9.129825839,               0.5,       3.139877842,       8.196064335,                 0,                 0,                 0,       2.210367931,       1.668944407,       8.616781766,                 0,       2.610313123,     0.00120587371
          0,           0,           1,      -4.046117547,      -3.813750725,      -3.294218464,      -1.990368871,      -9.547879647,               0.5,       1.612974288,       3.997028499,                 0,                 0,                 0,       1.028826618,      0.8943928692,         4.2163947,                 0,        2.47804849,    0.001433525291
          0,           0,           2,      -4.924524651,      -4.117464917,      -3.950338561,      -2.877911907,      -10.24541844,               0.5,       1.138082291,       3.229464993,                 0,                 0,                 0,      0.7983024248,      0.5600015525,       3.378028079,                 0,       2.837637506,    0.001433525291
          0,           0,           3,      -5.075412225,      -4.035220717,        -3.9590676,      -3.032676921,      -10.54872987,               0.5,      0.7092936174,       2.368094534,                 0,                 0,                 0,      0.5166590135,      0.2873025532,       2.455285401,                 0,        3.33866607,    0.001433525291
          0,           0,           4,      -5.122121049,      -4.024955575,      -4.019352122,      -3.079388866,      -10.78529586,               0.5,      0.3390154522,       1.427839707,                 0,                 0,                 0,      0.2103131419,     0.08592328257,       1.465017029,                 0,       4.211724563,    0.001433525291
          0,           0,           5,      -5.063511984,      -4.079492606,      -4.125520356,      -3.017895881,      -10.89152298,               0.5,     0.06728152219,      0.5515649478,                 0,                 0,                 0,    -0.06704532912,    -0.02951888337,      0.5548687506,                 0,       8.197866664,    0.001433525291
          0,           0,           6,      -5.002521269,      -4.165354646,      -4.236933882,      -2.956085361,       -10.8824765,               0.5,    -0.08971344546,     -0.1337182937,                 0,                 0,                 0,     -0.2699524368,    -0.06513055861,     -0.1472653887,                 0,       1.490504495,    0.001433525291
          0,           0,           7,      -4.988373624,      -4.222026299,      -4.280348393,      -2.941749428,      -10.84966393,               0.5,     -0.1439397828,     -0.5527976811,                 0,                 0,                 0,      -0.375420072,     -0.0457607041,     -0.5693943231,                 0,       3.840478778,    0.002189934254
          0,           0,           8,      -5.023364279,      -4.209440011,       -4.24353398,      -2.976349605,      -10.81198588,               0.5,     -0.1238332675,     -0.6900497625,                 0,                 0,                 0,     -0.3857077362,   -0.002126078154,     -0.7010697773,                 0,       5.572410197,    0.002189934254
          0,           0,           9,      -5.093561927,      -4.170557937,      -4.194871278,      -3.045902665,      -10.76825385,               0.5,    -0.06143118221,     -0.5814465866,                 0,                 0,                 0,     -0.3219140345,     0.04046923565,     -0.5832805193,                 0,       9.465007275,    0.002189934254
          0,           0,          10,      -5.160101773,      -4.149548463,      -4.174597758,      -3.112139793,      -10.71935524,               0.5,      0.0157072472,     -0.2989595988,                 0,                 0,                 0,     -0.2147693951,     0.06738240835,     -0.2916901959,                 0,      -19.03322683,    0.002189934254
          0,           0,          11,      -5.171681609,      -4.155574931,      -4.190583748,      -3.124350037,       -10.6687649,               0.5,     0.08811137462,     0.06861770452,                 0,                 0,                 0,    -0.09609002741,     0.07485742551,     0.08287562704,                 0,      0.7787610262,    0.002189934254
